Categoria;Descrição ;Ref.;Saida; Rot ; Rot M ; Rot P ;CV; VC  ; Custo  ; VENDA ; MBR ; IPI ;NV;CL;EX;OR; IQ ;Fornecedor
Quadros;TROPICAL FLORES QUADRO SQ. 4VRD. 38X38;NTMC;23;17;52;10;A;3 465;29,9;74,9;2,51;0;IN;N;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;TROPICAL FOLHAS QUADRO SQ. 4VRD. 38X38;NTVD;13;12;52;10;B;2 258;29,9;74,9;2,51;0;IN;N;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;UNION QUADRO SQ. 31X31 VRD.;TB;20;19;25;12;B;2 858;27,5;62;2,25;0;IN;U;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;VINTAGE MONUMENTS QUADRO SQ. 19X24 3VRD.;TBBG;17;17;25;25;B;1 720;14,8;37,5;2,53;0;IN;U;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;VITIS VINIFERAS QUADRO SQ. 25X30 4VRD.;CTMC;;0;0;0;C;;0;;0;0;ST;R;EX;N;0;
Quadros;WASH TIPS QUADRO LV. 34X34 2VRD.;BRMC;23;19;22;17;C;991;21;49,9;2,38;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;3D ZOO QUADRO CR. 26X26 5VRD.;BRMC;21;11;12;22;C;499;16,9;39,9;2,36;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Adornos de Parede;ADORNO FLOWER POT;CT;19;14,5;19,97;2;A;6867,05;86,25;199,9;2,32;0;SU;R;EX;N;0;LIZARD COMERCIAL LTDA ME
Adornos de Parede;ALVERO ADORNO PAREDE;MA;1;2,81;3,96;15;C;1508,78;51,57;159,9;3,47;0;SU;N;NE;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;ARBERA ADORNO PAREDE C/3;BZ;17;6,3;35,5;13;B;2298,1;40,3;129,9;3,43;0;SU;N;NE;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;AUTO ADORNO PAREDE;PT;16;10,1;12,3;22;B;2723,05;33,2;94,9;3,52;0;IN;U;EX;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;BIRDSEYE ADORNO PAREDE ;PT;9;9;18,4;10;B;3292,9;48,59;139,9;3,62;0;SU;U;NE;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;BURST ADORNO PAREDE C/4;CZ;1;4,5;19,9;12;C;240,79;53,08;129,9;1,52;0;SU;U;NE;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;COCA-COLA PLACA DECORATIVA SQ. 34X31;MC;;0;0;0;C;;0;;0;0;IN;U;EX;IMP;0;
Adornos de Parede;COKE PIN-UPS PLACA DECORATIVA SQ.44X34;MC;;0;0;0;C;;0;;0;0;IN;U;EX;IMP;0;
Adornos de Parede;CROSS STITCH ADORNO PAREDE C/40;BR;2;3,5;6;25;C;447,08;21;59,9;2,02;0;IN;U;EX;IMP;2;TERRA NOVA TRADING S/A
Adornos de Parede;CROSS STITCH ADORNO PAREDE C/40;PT;3;2,7;5;30;C;359,45;23,39;59,9;2,14;0;IN;U;EX;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;FIETS ADORNO PAREDE;PT;22;19,4;23,5;22;A;5335,85;29;94,9;4,03;0;IN;U;EX;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;FLEUR ADORNO PAREDE C/9;CR;;0;0;0;C;;0;;0;0;IN;U;NE;IMP;0;
Adornos de Parede;FOLIA ADORNO PAREDE ;CT;12;18,2;29,5;18;A;7669,41;55,69;169,9;3,72;0;SU;U;NE;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;GEOMETRA ADORNO PAREDE C/4;BR;6;9,2;9,24;25;C;1428,48;48,92;84,9;2,36;0;IN;U;NE;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;IF THESE WALLS COULD TALK ADORNO PAREDE;PTBR;;0;0;15;C;;14,7;42;0;0;IN;U;EX;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;MANDALA ADORNO PAREDE;BR;41;28,8;49,8;12;A;6958,18;35,32;99,9;2,83;0;IN;R;EX;N;0;KLEINER SCHEIN ARTES. EM MADEIRA LTD
Adornos de Parede;MANTRA ADORNO PAREDE C/8;PT;47;20,5;43,1;25;A;5778,17;34,96;119,9;3,65;0;SU;U;NE;IMP;0;TERRA NOVA TRADING S/A
Adornos de Parede;MARIPOSA ADORNO PAREDE C/9;MC;;0;0;0;C;;0;;0;0;IN;U;NE;N;0;
Adornos de Parede;MI CASA ADORNO PAREDE;PT;9;5,5;7,1;18;C;1487,26;41,61;119,9;2,66;0;SU;U;EX;IMP;0;TERRA NOVA TRADING S/A
