Categoria,Descrição,CV,VC,Custo,VENDA,OR
Adornos de Parede,PLUFF ADORNO PAREDE C/9,B,3466.41,12.6,39.9,IMP
Adornos de Parede,ROLINHA ADORNO PAREDE 19CM ,C,759.66,7.02,17.5,IMP
Adornos de Parede,SWEET HOME ADORNO ,B,2635.96,32.98,79.9,N
Adornos de Parede,TWEETY ADORNO PAREDE C/6,X,8553.55,30.44,107.5,IMP
Adornos de Parede,UDALA ADORNO PAREDE ,B,3675.26,89.0,199.9,N
Adornos de Parede,VOLER ADORNO PAREDE ,C,1616.0,13.93,34.9,N
Adornos de Parede,WALLFLOWER ADORNO PAREDE C/20,B,4397.95,34.72,94.9,N
Adornos de Parede,WALLFLOWER ADORNO PAREDE C/25,B,4043.08,34.93,88.5,N
Adornos de Parede,WALLFLOWER ADORNO PAREDE C/25,C,2053.37,30.19,88.5,IMP
Adornos de Parede,WALLFLUTTER ADORNO PAREDE C/20,X,12255.74,29.49,94.9,IMP
Adornos de Parede,WEAVE ADORNO PAREDE C/3,B,2894.53,61.02,159.9,IMP
Molduras,FREEDOM KIT MOLDURA 10X15,B,2552.0,4.19,13.9,IMP
Molduras,FREEDOM KIT MOLDURA 20X25,B,3054.0,8.54,24.9,IMP
Molduras,FREEDOM KIT MOLDURA 24X30,B,2788.0,10.55,29.9,IMP
Molduras,FREEDOM KIT MOLDURA 30X40,C,2368.0,15.61,42.0,IMP
Molduras,GRAPHICS KIT MOLDURA A3 29X42,A,8436.0,10.48,24.9,N
Molduras,GRAPHICS KIT MOLDURA A3 29X42,A,10339.0,10.48,24.9,N
Molduras,GRAPHICS KIT MOLDURA A4 21X29,X,10518.0,6.7,15.9,N
Molduras,GRAPHICS KIT MOLDURA A4 21X29,X,10583.0,6.7,15.9,N
Molduras,GRAPHICS KIT MOLDURA A5 14X21,A,7987.0,5.38,12.9,N
Molduras,GRAPHICS KIT MOLDURA A5 14X21,A,7092.0,5.38,12.9,N
Molduras,INSTAPOSTER KIT MOLDURA 10X15,C,1679.0,4.47,12.9,IMP
Molduras,INSTAPOSTER KIT MOLDURA 15X20,C,1376.0,5.81,17.5,IMP
Molduras,LISTO KIT MOLDURA 20X25,B,3168.0,14.51,34.9,N
Molduras,LISTO KIT MOLDURA 20X25,B,2715.0,14.51,34.9,N
Molduras,LISTO KIT MOLDURA 30X40,B,3045.0,24.33,54.9,N
Molduras,LISTO KIT MOLDURA 30X40,B,3610.0,24.33,54.9,N
Molduras,LISTO KIT MOLDURA 40X50,A,3751.0,25.86,59.9,N
Molduras,LISTO KIT MOLDURA 40X50,A,4668.0,25.86,59.9,N
Molduras,LISTO KIT MOLDURA 47X62,B,3743.0,30.16,69.9,N
Molduras,LISTO KIT MOLDURA 47X62,A,5181.0,30.16,69.9,N
Molduras,PROFOUND KIT MOLDURA 10X15,B,2859.0,5.89,18.5,IMP
Molduras,PROFOUND KIT MOLDURA 15X20,A,4046.0,7.71,24.9,IMP
Molduras,PROFOUND KIT MOLDURA 15X20,B,3287.0,7.71,24.9,IMP
Molduras,PROFOUND KIT MOLDURA 20X25,C,2233.0,11.08,34.9,IMP
Molduras,PRONTA BOX KIT MOLDURA 20X25,A,4628.0,23.81,54.9,N
Molduras,PRONTA BOX KIT MOLDURA 20X25,B,2534.0,24.99,54.9,N
Molduras,PRONTA BOX KIT MOLDURA 30X40,A,4344.0,32.89,74.9,N
Molduras,PRONTA BOX KIT MOLDURA 30X40,B,3224.0,34.35,74.9,N
Molduras,PRONTA LUBERON KIT MOLDURA 20X25,B,2826.0,11.47,32.0,N
Molduras,PRONTA LUBERON KIT MOLDURA 24X30,C,2256.0,13.46,34.9,N
Molduras,PRONTA LUBERON KIT MOLDURA 30X40,C,1988.0,17.43,42.0,N
